verb,zipf
earth,5.066
fear,5.066
prepare,5.066
content,5.065
welcome,5.065
laugh,5.064
doctor,5.063
advance,5.062
okay,5.061
pain,5.06
coach,5.059
fill,5.059
pressure,5.059
approach,5.058
burn,5.057
master,5.057
seat,5.056
arrive,5.053
fee,5.053
promise,5.053
brown,5.051
target,5.049
handle,5.046
partner,5.046
address,5.045
prove,5.044
fish,5.042
machine,5.042
stock,5.042
update,5.041
murder,5.04
interview,5.039
lack,5.039
affect,5.037
battle,5.037
purpose,5.037
strike,5.037
band,5.036
wind,5.035
host,5.034
mix,5.033
fit,5.032
structure,5.029
grant,5.027
ice,5.027
except,5.026
feed,5.026
husband,5.025
spring,5.023
purchase,5.022
centre,5.021
radio,5.021
regard,5.021
request,5.018
function,5.015
kick,5.012
reveal,5.012
gas,5.01
heat,5.01
sing,5.009
suffer,5.008
determine,5.007
brand,5.006
launch,5.006
floor,5.004
impact,5.004
avoid,5.003
fair,5.003
imagine,5.003
hide,5.002
screen,5.001
paint,4.999
brain,4.997
cry,4.997
commission,4.996
lay,4.996
spot,4.996
dress,4.994
ring,4.99
shop,4.99
sun,4.988
channel,4.986
copy,4.986
deliver,4.986
introduce,4.985
trip,4.984
weekend,4.984
hang,4.983
separate,4.983
maintain,4.981
identify,4.979
waste,4.979
blow,4.978
prevent,4.978
hill,4.977
hop,4.97
connect,4.969
doubt,4.969
gift,4.968
excite,4.967
factor,4.966
wow,4.964
replace,4.963
shape,4.962
discuss,4.959
jump,4.959
print,4.959
smoke,4.959
destroy,4.958
express,4.958
cook,4.956
discover,4.956
influence,4.956
wake,4.955
steal,4.954
camp,4.95
cat,4.95
trump,4.949
depend,4.948
flight,4.948
attend,4.947
bag,4.947
reference,4.946
document,4.945
arrest,4.944
farm,4.944
grade,4.944
exchange,4.942
skin,4.942
stone,4.94
earn,4.936
extend,4.936
pack,4.936
schedule,4.936
firm,4.935
conduct,4.934
horse,4.934
cash,4.933
struggle,4.931
worst,4.931
collect,4.93
load,4.929
scale,4.929
spread,4.929
assume,4.928
select,4.927
clothe,4.926
locate,4.926
tie,4.926
queen,4.924
beach,4.923
map,4.923
confirm,4.922
slow,4.922
estimate,4.921
click,4.92
balance,4.919
bird,4.919
captain,4.919
loan,4.919
pop,4.918
trouble,4.918
guide,4.917
rank,4.916
winter,4.916
aid,4.915
garden,4.915
guard,4.915
joke,4.915
ticket,4.914
recommend,4.912
surface,4.912
achieve,4.908
argue,4.906
cast,4.903
spirit,4.902
distance,4.901
foot,4.9
refuse,4.9
soldier,4.899
appeal,4.898
suit,4.898
bet,4.896
deserve,4.894
register,4.893
japan,4.89
recognize,4.89
programme,4.889
square,4.889
coast,4.887
profile,4.887
weather,4.887
fashion,4.885
tool,4.883
fat,4.882
mistake,4.881
sick,4.881
promote,4.879
champion,4.877
mass,4.877
pair,4.877
google,4.876
taste,4.876
tear,4.876
metal,4.875
tire,4.874
combine,4.873
correct,4.873
mouth,4.873
profit,4.873
budget,4.871
display,4.871
flow,4.871
stream,4.871
aim,4.87
putt,4.87
rat,4.87
wave,4.87
flower,4.869
indicate,4.869
bridge,4.868
lock,4.868
appreciate,4.867
bottom,4.867
tip,4.866
advantage,4.865
define,4.864
dry,4.864
smile,4.864
object,4.861
fell,4.86
border,4.859
edge,4.859
reserve,4.859
command,4.858
honor,4.858
engage,4.857
institute,4.857
stress,4.856
quote,4.855
boat,4.853
jack,4.853
wing,4.853
finance,4.852
glass,4.851
traffic,4.851
hire,4.85
propose,4.849
intend,4.848
secure,4.848
zone,4.848
bomb,4.847
quarter,4.847
respond,4.846
encourage,4.844
exercise,4.844
warn,4.844
corner,4.843
email,4.843
hole,4.841
celebrate,4.838
bus,4.837
smart,4.837
shut,4.836
crowd,4.834
survive,4.834
twitter,4.833
plane,4.832
route,4.832
sentence,4.832
escape,4.831
progress,4.831
ensure,4.83
prime,4.83
port,4.826
warm,4.826
hat,4.825
inspire,4.824
shift,4.823
signal,4.823
desire,4.821
invite,4.821
theme,4.82
survey,4.818
bond,4.817
obtain,4.817
task,4.817
rain,4.816
silver,4.815
background,4.814
suck,4.814
switch,4.814
capture,4.812
abuse,4.811
birth,4.811
defend,4.808
fuel,4.808
pattern,4.808
shoe,4.808
finger,4.807
negative,4.807
contribute,4.806
download,4.806
net,4.806
sample,4.806
ignore,4.805
mail,4.805
license,4.803
shock,4.802
hunt,4.801
transfer,4.801
chairman,4.8
deny,4.8
reply,4.8
belong,4.798
forest,4.798
surround,4.798
blog,4.797
chair,4.797
holiday,4.796
rid,4.796
till,4.795
conflict,4.794
debate,4.793
manufacture,4.793
truck,4.792
blame,4.791
edit,4.791
wine,4.791
cycle,4.79
graduate,4.79
lift,4.789
transport,4.788
bowl,4.787
egg,4.785
sky,4.785
labor,4.784
nurse,4.783
approve,4.782
repeat,4.782
chain,4.781
settle,4.781
pound,4.78
expand,4.779
remind,4.779
frame,4.778
ray,4.778
medicine,4.775
shirt,4.774
bitch,4.773
iron,4.772
reflect,4.772
declare,4.767
crew,4.766
joint,4.766
frank,4.765
mount,4.765
boss,4.764
tend,4.763
root,4.762
scare,4.762
storm,4.762
trend,4.762
monitor,4.76
bottle,4.758
core,4.758
draft,4.757
qualify,4.755
tank,4.755
defeat,4.754
elect,4.753
busy,4.751
plate,4.751
kiss,4.75
web,4.75
pool,4.749
suspect,4.749
bay,4.748
adopt,4.746
assist,4.746
gather,4.746
initial,4.744
cop,4.741
colour,4.74
wash,4.74
oppose,4.736
ruin,4.736
dye,4.732
mess,4.732
participate,4.732
guarantee,4.73
consist,4.729
convince,4.729
phase,4.729
protest,4.729
rent,4.729
crash,4.728
proof,4.727
wheel,4.727
scar,4.726
harry,4.725
shake,4.725
generate,4.724
delay,4.723
moon,4.722
threaten,4.722
circle,4.721
organize,4.72
occur,4.719
steel,4.717
bore,4.715
crack,4.714
bone,4.712
gate,4.712
decline,4.711
fake,4.711
knock,4.711
labour,4.711
package,4.711
wound,4.711
prize,4.71
reform,4.71
equal,4.707
favor,4.706
invest,4.705
sub,4.705
sugar,4.705
bind,4.704
expose,4.704
instance,4.704
label,4.704
flag,4.702
yellow,4.701
row,4.7
solve,4.699
enable,4.698
divide,4.697
journey,4.697
freeze,4.695
fruit,4.694
fault,4.693
inform,4.693
mate,4.693
scheme,4.692
appropriate,4.69
smell,4.689
troop,4.689
rush,4.687
snow,4.687
swear,4.687
pilot,4.685
scream,4.685
investigate,4.684
milk,4.683
wage,4.682
rape,4.681
trick,4.681
chase,4.68
seed,4.68
split,4.68
highlight,4.679
panel,4.679
shoulder,4.678
appoint,4.677
excuse,4.677
jail,4.677
witness,4.675
repair,4.673
sight,4.673
bell,4.672
retire,4.672
acquire,4.671
admit,4.67
cap,4.67
concert,4.669
button,4.668
swim,4.668
vary,4.668
chart,4.667
refer,4.665
contest,4.664
employ,4.664
neck,4.664
recover,4.664
spell,4.664
volunteer,4.664
compete,4.663
lunch,4.663
reward,4.662
fox,4.661
motor,4.661
peak,4.661
confuse,4.66
photograph,4.66
advertise,4.658
attract,4.657
demonstrate,4.657
quiet,4.655
experiment,4.654
crown,4.652
install,4.652
cloud,4.651
salt,4.649
bike,4.648
zero,4.647
explore,4.646
tower,4.645
cream,4.644
plot,4.642
observe,4.641
layer,4.64
wire,4.64
bob,4.639
mill,4.639
portion,4.639
flood,4.638
poll,4.638
adventure,4.637
bless,4.636
implement,4.636
seal,4.636
ally,4.635
diet,4.635
counter,4.634
pocket,4.634
solo,4.634
complain,4.633
empty,4.633
rescue,4.633
motion,4.632
cable,4.631
dedicate,4.631
upset,4.631
occasion,4.63
reject,4.63
shower,4.627
quit,4.626
brief,4.625
prefer,4.625
accuse,4.624
disappoint,4.624
muscle,4.623
afford,4.621
emerge,4.621
breakfast,4.62
recall,4.62
cake,4.619
roof,4.619
chamber,4.618
spin,4.618
bother,4.617
encounter,4.617
trail,4.617
branch,4.615
don,4.615
noise,4.614
breathe,4.612
nick,4.611
pray,4.611
tweet,4.61
index,4.609
attach,4.608
succeed,4.608
ban,4.606
premier,4.606
saint,4.606
shadow,4.606
sheet,4.605
tone,4.605
pet,4.604
debut,4.601
shame,4.6
abandon,4.599
calm,4.599
blind,4.598
gear,4.598
bid,4.597
chat,4.597
conclude,4.597
singe,4.597
climb,4.596
pitch,4.596
boot,4.594
instrument,4.594
toy,4.594
cheese,4.593
disappear,4.593
mirror,4.592
annoy,4.591
examine,4.591
rely,4.591
tape,4.591
grace,4.59
pretend,4.588
satisfy,4.588
broadcast,4.587
combat,4.587
sponsor,4.587
expense,4.586
assault,4.585
coat,4.585
grab,4.585
pump,4.585
convert,4.584
gap,4.584
bath,4.583
proceed,4.583
hook,4.582
golf,4.581
praise,4.581
cheat,4.58
joy,4.58
bunch,4.577
neighbor,4.577
relax,4.576
steam,4.575
injure,4.574
gang,4.573
bound,4.572
retail,4.572
tune,4.572
fantasy,4.571
stretch,4.569
string,4.569
thread,4.569
cite,4.568
slide,4.568
heal,4.567
occupy,4.567
nose,4.566
harm,4.565
chip,4.563
coin,4.563
retain,4.563
piss,4.561
sink,4.561
pursue,4.56
slave,4.56
twin,4.559
upgrade,4.558
export,4.557
dig,4.556
divorce,4.556
founder,4.556
contrast,4.554
delete,4.554
shell,4.553
transition,4.553
circuit,4.552
dirty,4.552
rice,4.552
bury,4.551
swing,4.551
format,4.548
flash,4.547
disorder,4.546
acknowledge,4.544
leak,4.543
screw,4.543
wet,4.543
angle,4.542
construct,4.542
preserve,4.542
reverse,4.542
arrange,4.541
sand,4.541
ghost,4.54
plain,4.54
restore,4.54
trigger,4.54
boost,4.539
sin,4.537
dispute,4.535
rail,4.535
cheer,4.534
realise,4.534
mar,4.533
nail,4.533
tag,4.533
decrease,4.53
eliminate,4.53
strip,4.53
advise,4.529
mask,4.529
pink,4.529
exact,4.527
habit,4.527
honour,4.527
tube,4.527
entitle,4.526
filter,4.526
advocate,4.523
discount,4.523
comfort,4.522
silence,4.521
trace,4.521
belt,4.52
craft,4.52
fool,4.52
clock,4.518
accompany,4.517
bread,4.517
complicate,4.517
stable,4.517
pant,4.516
urge,4.516
assign,4.514
sequence,4.513
deposit,4.512
kit,4.512
punch,4.51
crush,4.509
ford,4.509
twist,4.509
sacrifice,4.508
breast,4.507
execute,4.507
resort,4.507
educate,4.506
predict,4.506
pride,4.506
coal,4.505
desert,4.505
resolve,4.505
rough,4.503
distribute,4.502
import,4.502
jet,4.502
script,4.501
inch,4.499
deck,4.497
impress,4.497
bull,4.496
bush,4.496
incorporate,4.496
owe,4.496
pace,4.496
soil,4.494
bang,4.493
castle,4.493
grey,4.493
gross,4.492
knight,4.492
nut,4.491
insist,4.49
adjust,4.489
exhibit,4.489
pot,4.489
rocket,4.488
shield,4.487
shine,4.487
blast,4.486
loose,4.486
landscape,4.485
uniform,4.484
cure,4.483
dare,4.483
exit,4.483
translate,4.483
narrow,4.482
pose,4.482
shout,4.482
pipe,4.481
transform,4.481
alien,4.48
eagle,4.48
charm,4.479
allege,4.476
fort,4.476
freak,4.476
mortgage,4.476
rap,4.476
log,4.475
rally,4.475
sum,4.475
thin,4.475
impose,4.474
meter,4.473
rear,4.473
pen,4.472
bullshit,4.471
regret,4.469
tail,4.469
anger,4.468
enhance,4.468
output,4.468
phrase,4.467
alarm,4.466
float,4.466
clip,4.465
integrate,4.465
vacation,4.465
essay,4.464
gray,4.464
curve,4.462
dominate,4.46
segment,4.46
sue,4.46
breed,4.459
recruit,4.459
trash,4.458
imply,4.457
dust,4.454
fry,4.453
hack,4.453
sail,4.453
shade,4.453
compound,4.452
sustain,4.452
adapt,4.451
collapse,4.45
telephone,4.45
ward,4.45
pour,4.449
privilege,4.449
alert,4.448
raid,4.448
spy,4.448
weigh,4.448
stare,4.447
yield,4.447
drill,4.446
justify,4.446
embarrass,4.445
grave,4.445
suspend,4.444
concrete,4.443
provision,4.443
shore,4.443
tissue,4.442
jacket,4.441
jimmy,4.441
pan,4.441
tap,4.441
stomach,4.44
forgive,4.439
detect,4.436
donate,4.436
satellite,4.436
entrance,4.434
polish,4.434
trap,4.434
smooth,4.433
embrace,4.432
accomplish,4.431
bat,4.43
alter,4.429
dump,4.429
bug,4.428
venture,4.428
bow,4.427
butter,4.427
favour,4.427
react,4.427
stem,4.427
tongue,4.427
buck,4.426
input,4.426
lyric,4.426
yell,4.426
dive,4.425
modify,4.425
communicate,4.422
cricket,4.422
devil,4.422
foster,4.422
restrict,4.422
sweep,4.422
govern,4.421
shelter,4.421
stake,4.421
stamp,4.421
duck,4.42
ease,4.42
illustrate,4.42
knife,4.42
stroke,4.42
assure,4.419
attribute,4.419
derive,4.419
prospect,4.418
wee,4.417
nerve,4.416
pin,4.416
consume,4.415
lean,4.415
cancel,4.414
concentrate,4.414
consent,4.414
evolve,4.414
fate,4.414
headquarter,4.413
loop,4.413
brave,4.411
peer,4.411
chill,4.41
crap,4.41
fold,4.41
boom,4.409
certificate,4.408
discipline,4.408
spare,4.408
fleet,4.407
bench,4.406
comprise,4.406
distinguish,4.406
flame,4.406
lecture,4.405
dismiss,4.404
bake,4.403
crop,4.403
disgust,4.403
permit,4.403
fence,4.402
tackle,4.402
archive,4.401
assess,4.4
lease,4.4
calculate,4.398
commit,4.398
resist,4.398
con,4.397
fancy,4.397
tunnel,4.397
pole,4.394
snake,4.394
patent,4.393
disable,4.392
bully,4.391
entertain,4.391
borrow,4.39
compose,4.39
exclude,4.389
rival,4.389
strengthen,4.388
warrant,4.388
strain,4.387
petition,4.386
railroad,4.386
grass,4.385
compromise,4.383
franchise,4.383
poison,4.383
isolate,4.382
melt,4.381
delight,4.379
brush,4.378
honey,4.378
pit,4.377
consult,4.376
smash,4.376
tattoo,4.376
charter,4.375
drain,4.375
glory,4.375
rebel,4.375
resign,4.375
lend,4.374
costume,4.373
mature,4.373
remark,4.373
pig,4.372
rob,4.372
bean,4.369
verse,4.369
butt,4.368
outfit,4.368
coordinate,4.367
counsel,4.365
cruise,4.365
dose,4.365
slip,4.365
parallel,4.363
overcome,4.362
pension,4.362
recognise,4.362
affiliate,4.361
evaluate,4.36
leather,4.36
auction,4.359
exhaust,4.359
rifle,4.359
weed,4.359
flee,4.358
frustrate,4.358
resume,4.358
romance,4.357
bubble,4.356
triple,4.356
wipe,4.356
cant,4.355
wolf,4.355
cotton,4.354
cow,4.354
apologize,4.353
hint,4.353
regulate,4.353
torture,4.353
josh,4.352
cave,4.349
spray,4.349
default,4.348
pile,4.348
barrel,4.347
negotiate,4.347
ski,4.347
violate,4.347
classify,4.346
moderate,4.345
upload,4.345
calendar,4.344
punish,4.344
exceed,4.343
clue,4.342
insult,4.342
dimension,4.34
disturb,4.339
shark,4.339
render,4.338
riot,4.338
outline,4.337
sauce,4.336
beam,4.335
possess,4.335
worship,4.335
convict,4.334
analyze,4.333
toe,4.333
designate,4.332
drum,4.331
motivate,4.331
overwhelm,4.33
curse,4.329
horn,4.329
powder,4.329
rick,4.329
candy,4.328
depress,4.328
perceive,4.328
correspond,4.327
differ,4.327
drag,4.327
purple,4.327
scratch,4.327
sole,4.327
summit,4.326
treasure,4.326
bust,4.325
cock,4.324
bias,4.323
headline,4.323
grain,4.322
ram,4.322
invent,4.32
steady,4.32
substitute,4.32
palm,4.319
anticipate,4.318
hammer,4.318
nominate,4.317
snap,4.317
specify,4.317
bend,4.316
dawn,4.316
frequent,4.316
jazz,4.316
burden,4.313
leaf,4.313
stack,4.313
mouse,4.312
beef,4.311
dj,4.311
burst,4.309
quest,4.307
spark,4.307
submit,4.305
rip,4.304
extract,4.302
devote,4.301
shed,4.301
specialize,4.301
bleed,4.3
copyright,4.3
sweat,4.3
prompt,4.298
seize,4.297
enforce,4.296
pirate,4.296
bloody,4.294
cease,4.294
companion,4.294
lap,4.294
rage,4.294
canal,4.293
brake,4.292
wrap,4.291
forecast,4.29
lodge,4.29
pat,4.29
thrill,4.29
absorb,4.289
criticize,4.289
deem,4.288
hike,4.288
hood,4.288
supplement,4.288
slice,4.287
revenge,4.286
activate,4.285
bin,4.285
heel,4.285
certify,4.284
fade,4.284
garage,4.284
insert,4.284
reign,4.284
retreat,4.284
throne,4.284
boil,4.281
fulfill,4.281
pepper,4.281
harvest,4.28
slot,4.28
copper,4.279
gamble,4.279
induce,4.279
monkey,4.279
premiere,4.278
scout,4.278
behave,4.277
initiate,4.276
bounce,4.275
panic,4.275
cooper,4.273
terrify,4.273
organise,4.272
condemn,4.271
interact,4.271
renew,4.271
bump,4.269
interpret,4.269
sack,4.269
revise,4.268
surrender,4.268
taxi,4.268
utilize,4.267
deploy,4.266
din,4.266
wrestle,4.266
carpet,4.265
flavor,4.265
accent,4.264
arc,4.264
grind,4.264
fascinate,4.261
neighbour,4.26
patch,4.26
corrupt,4.259
dam,4.259
explode,4.259
cod,4.258
dine,4.258
proportion,4.256
rumor,4.256
exploit,4.254
nest,4.253
verify,4.253
arise,4.252
divine,4.251
pledge,4.25
flip,4.249
parade,4.249
prohibit,4.249
authorize,4.248
confront,4.248
cartoon,4.247
skip,4.246
podcast,4.245
jam,4.244
admire,4.243
jar,4.243
cage,4.242
rubber,4.242
dot,4.241
pearl,4.241
premise,4.24
bolt,4.239
facilitate,4.239
infect,4.239
pronounce,4.239
alternate,4.238
forbid,4.238
hug,4.238
merit,4.238
await,4.237
whale,4.237
relieve,4.236
slight,4.236
disagree,4.235
dish,4.234
pioneer,4.233
rope,4.233
anchor,4.231
blend,4.231
constitute,4.231
corn,4.231
dock,4.231
wreck,4.23
cluster,4.227
drown,4.227
lobby,4.227
blanket,4.226
patrol,4.226
spoil,4.226
bare,4.225
breach,4.224
plug,4.224
soap,4.224
bitter,4.223
bronze,4.223
buzz,4.223
cope,4.223
escort,4.223
legitimate,4.223
brook,4.221
compute,4.221
diagnose,4.219
flesh,4.218
transit,4.218
unlock,4.217
chuck,4.216
drone,4.216
visa,4.216
gut,4.215
ballot,4.214
sanction,4.214
discharge,4.213
flaw,4.212
blank,4.211
bud,4.211
console,4.211
harbor,4.21
orient,4.21
toss,4.21
testify,4.209
abstract,4.208
grip,4.208
audit,4.207
echo,4.207
overlook,4.207
pad,4.207
assemble,4.206
bulk,4.206
distract,4.206
humble,4.206
mandate,4.206
shave,4.206
cheek,4.205
endure,4.205
greet,4.205
hawk,4.205
opt,4.205
pine,4.205
hurry,4.204
rabbit,4.204
cabin,4.203
resemble,4.203
situate,4.203
bargain,4.202
puzzle,4.202
snack,4.202
steer,4.202
beard,4.201
humor,4.201
offend,4.201
scan,4.201
slope,4.201
ace,4.2
haunt,4.2
depart,4.199
marvel,4.198
spill,4.198
tender,4.198
par,4.197
ridge,4.196
swallow,4.196
warehouse,4.196
widow,4.196
stain,4.195
portray,4.194
administer,4.193
inventory,4.192
roast,4.192
shin,4.192
soup,4.192
disclose,4.191
reinforce,4.191
census,4.19
tent,4.19
thumb,4.19
pierce,4.189
subscribe,4.188
thunder,4.187
emphasize,4.186
comply,4.185
delegate,4.185
depict,4.185
pulse,4.184
closure,4.183
addict,4.182
graph,4.182
couch,4.181
compliment,4.18
pause,4.18
closet,4.179
shy,4.179
motorcycle,4.178
squeeze,4.178
glow,4.177
sock,4.177
skate,4.176
wander,4.175
array,4.174
bucket,4.173
gentle,4.173
hype,4.173
withdraw,4.173
probe,4.171
spike,4.171
fork,4.17
needle,4.17
orbit,4.17
slam,4.169
elevate,4.168
span,4.168
toll,4.167
mat,4.165
streak,4.165
ash,4.164
foul,4.164
compile,4.163
inter,4.163
scatter,4.163
spur,4.163
whisper,4.163
ink,4.161
endorse,4.16
fare,4.16
paragraph,4.16
mock,4.159
accommodate,4.158
bundle,4.158
jerk,4.158
sandwich,4.157
interrupt,4.155
expire,4.154
grill,4.154
candle,4.153
demo,4.153
distress,4.153
awake,4.152
ham,4.152
sneak,4.152
tide,4.152
hail,4.151
neglect,4.15
scrap,4.15
persuade,4.149
reside,4.149
welsh,4.149
remedy,4.147
accelerate,4.146
elaborate,4.145
hazard,4.145
badge,4.144
belly,4.144
merge,4.144
rev,4.144
buffalo,4.143
animate,4.142
forge,4.142
characterize,4.141
savage,4.141
analyse,4.14
skirt,4.14
dash,4.139
obsess,4.139
tenant,4.139
notify,4.138
pal,4.138
armor,4.137
cough,4.137
interfere,4.137
potter,4.137
drift,4.136
mud,4.136
plead,4.136
bail,4.135
carve,4.135
beg,4.134
halt,4.134
jaw,4.134
keen,4.134
tempt,4.134
invade,4.132
scroll,4.13
decorate,4.129
spice,4.129
butterfly,4.128
descend,4.128
summon,4.128
turtle,4.128
creep,4.127
sigh,4.127
stag,4.127
rebuild,4.126
brad,4.125
broker,4.125
mentor,4.125
vacuum,4.125
cannon,4.124
haul,4.124
choke,4.123
leap,4.123
stall,4.123
balloon,4.122
bloom,4.122
receipt,4.122
spit,4.122
collar,4.121
dip,4.121
originate,4.121
towel,4.121
confess,4.12
witch,4.119
berry,4.117
cart,4.117
troll,4.116
conquer,4.115
lighter,4.115
rotate,4.115
refresh,4.114
sketch,4.112
surf,4.112
coke,4.111
devastate,4.11
pale,4.11
refund,4.11
enroll,4.109
hunger,4.109
arch,4.107
rack,4.106
strand,4.106
stripe,4.106
clarify,4.105
inherit,4.105
prescribe,4.105
terminate,4.105
tick,4.105
assert,4.104
dissolve,4.104
ferry,4.104
amend,4.103
disk,4.102
fin,4.102
gauge,4.102
commence,4.101
gesture,4.101
bicycle,4.1
doom,4.1
nickname,4.1
retrieve,4.1
